CreateTaskVisibilityPrivate|Private - Code changes visible only to participants
DownloadDescriptionParagraph2|Each platform version of PrTask shares the same core functionality built with .NET MAUI and Blazor technology, ensuring a consistent experience across devices. Native apps offer additional capabilities like offline access to cached task data, push notifications for pull request reviews and payment updates, and biometric login for enhanced security. The web application requires no installation and works on any device with a modern browser, making it the fastest way to get started. iOS and macOS versions are currently in development and will be available in a future release.
DownloadDescriptionParagraph3|Installation is straightforward on all supported platforms. Android users can download the APK directly and enable installation from unknown sources in their device settings. Windows users download the executable and run it — no installer required. Linux users download the binary, set the executable permission, and run it from the terminal. All downloads are verified and signed to ensure authenticity. Check the feature comparison table above to understand which capabilities are available on each platform, and refer to the troubleshooting section if you encounter any issues during installation.
DownloadFeatureBiometric|Biometric Authentication
DownloadFeatureNative|Native Performance
DownloadFeatureOffline|Offline Access
DownloadInstallAndroidDescription|Download the APK file, open it on your device, and follow the on-screen prompts to install.
DownloadInstallHeading|Installation Instructions
DownloadInstallIosDescription|Download from the App Store and tap Install. The app will appear on your home screen.
DownloadInstallLinuxDescription|Download the package for your distribution and install using your package manager.
DownloadInstallMacDescription|Download the DMG file, drag PrTask to your Applications folder, and launch from Launchpad.
DownloadInstallWindowsDescription|Download the installer, run the setup wizard, and follow the prompts to complete installation.
DownloadLinuxButton|Download Linux Binary
DownloadMacDescription|Native Mac app for Apple Silicon and Intel.
DownloadMacHeading|macOS
DownloadMacRequirements|macOS 12 (Monterey) or later, 100 MB available storage
DownloadSystemRequirementsLabel|System Requirements:
DownloadTroubleshootApk|Enable 'Install from unknown sources' in your device settings, then try the download again.
DownloadTroubleshootApkQuestion|The Android APK will not install. What should I do?
DownloadTroubleshootCrash|Ensure your device meets the minimum system requirements and that you have the latest version installed.
DownloadTroubleshootCrashQuestion|The app crashes on startup. How can I fix this?
DownloadTroubleshootHeading|Troubleshooting
HowItWorksClientsHeading|For Clients
HowItWorksClientsStep1|Sign in with GitHub or Google and set up your payment method
HowItWorksClientsStep2|Create a task with a description, repository link, and bounty amount
HowItWorksClientsStep3|Developers submit public pull requests for your task
HowItWorksClientsStep4|Review all submitted pull requests and approve the best one
HowItWorksClientsStep5|You are automatically charged the bounty and the developer gets paid
HowItWorksDescriptionHeading|How PrTask Works — Complete Guide to Earning and Hiring
HowItWorksDescriptionParagraph1|PrTask streamlines the process of connecting developers with paid software work through a pull request-based workflow that mirrors how professional development teams already operate. The process begins with signing up using your GitHub, Google, Microsoft, or Okta account, which takes seconds and requires no separate registration form. Once authenticated, developers can immediately browse available tasks, while clients can start creating tasks and setting bounties right away. The entire lifecycle from task creation to payment disbursement follows a predictable, transparent workflow with clear steps at every stage.
HowItWorksDescriptionParagraph2|For developers, the workflow is straightforward: browse tasks, find one matching your skills, review the requirements and linked GitHub repository, implement the solution in your own fork, and submit a pull request through PrTask. The task owner reviews your code following standard GitHub review practices, may request changes, and ultimately approves and merges your contribution. Upon merge, payment is triggered automatically — no invoicing, no payment requests, no waiting for manual processing. The bounty is disbursed directly to your configured payout method.
HowItWorksDescriptionParagraph3|For clients, PrTask simplifies the hiring process by eliminating interviews, contracts, and scope negotiations. Create a task with a clear description, set the complexity level and bounty amount, link it to your GitHub repository, and publish it to the marketplace. Developers worldwide can then discover and work on your task. You review submissions as pull requests with full code diff visibility, request changes if needed, and approve when satisfied. The platform handles payment processing, developer verification, and dispute resolution, letting you focus on reviewing code quality rather than managing freelancer relationships.
HowItWorksGettingStartedHeading|Getting Started
HowItWorksWorkflowDescription|Follow these steps to complete the full workflow from login to payment.
HowItWorksWorkflowHeading|Workflow Guide
HowItWorksWorkflowStatusLoginRequired|Login Required
HowItWorksWorkflowStatusOpen|Open
HowItWorksWorkflowStep10Description|Add inline comments on specific lines or highlighted code that need changes.
HowItWorksWorkflowStep10Heading|Add Review Comments
HowItWorksWorkflowStep10Link|PR Comments
HowItWorksWorkflowStep11Description|Developer applies fixes, replies to comments, and resolves them.
HowItWorksWorkflowStep11Heading|Reply and Resolve Comments
HowItWorksWorkflowStep11Link|Resolve Comments
HowItWorksWorkflowStep12Description|Client approves the PR and pays the bounty via Maya credit card checkout.
HowItWorksWorkflowStep12Heading|Approve PR and Pay via Maya
HowItWorksWorkflowStep12Link|Approve and Pay
HowItWorksWorkflowStep12PaymentsLink|Payments
HowItWorksWorkflowStep13Description|View all payment transactions and their status.
HowItWorksWorkflowStep13Heading|Payment History
HowItWorksWorkflowStep13Link|Payments
HowItWorksWorkflowStep14Description|Configure payout method and verify withdrawal balance.
HowItWorksWorkflowStep14Heading|Withdrawal Settings
HowItWorksWorkflowStep14Link|Settings
HowItWorksWorkflowStep1Description|Authenticate with Google, GitHub, Microsoft, or Okta.
HowItWorksWorkflowStep1Heading|Sign In via SSO
HowItWorksWorkflowStep1Link|Sign In
HowItWorksWorkflowStep1Status|Required
HowItWorksWorkflowStep2Description|Complete identity verification to enable payments and comply with regulations.
HowItWorksWorkflowStep2Heading|KYC Identity Verification
HowItWorksWorkflowStep2Link|Settings - KYC
HowItWorksWorkflowStep3Description|Post a task with a bounty for developers to complete.
HowItWorksWorkflowStep3Heading|Create a Task
HowItWorksWorkflowStep3Link|Create Task
HowItWorksWorkflowStep4Description|Upload the source code folder to the task so developers can see the diff.
HowItWorksWorkflowStep4Heading|Upload Source Code
HowItWorksWorkflowStep4Link|Task Detail
HowItWorksWorkflowStep5Description|Developers browse available tasks and find work that matches their skills.
HowItWorksWorkflowStep5Heading|Browse Open Tasks
HowItWorksWorkflowStep5Link|Tasks
HowItWorksWorkflowStep6Description|View the task description, bounty amount, and existing pull requests.
HowItWorksWorkflowStep6Heading|View Task Detail
HowItWorksWorkflowStep6Link|Task Detail
HowItWorksWorkflowStep7Description|Edit the source code directly in the browser diff editor.
HowItWorksWorkflowStep7Heading|Modify Code in Diff Editor
HowItWorksWorkflowStep7Link|Diff Editor
HowItWorksWorkflowStep8Description|Submit your code changes as a pull request for the task.
HowItWorksWorkflowStep8Heading|Submit Pull Request
HowItWorksWorkflowStep8Link|Submit PR
HowItWorksWorkflowStep9Description|Client reviews the diff to see all code changes submitted by the developer.
HowItWorksWorkflowStep9Heading|Review Code Changes
HowItWorksWorkflowStep9Link|PR Detail
LeaderboardHeaderDeveloper|Developer
LegalLastUpdated|Last updated: March 2026
LicensesCodeOwnershipDescription|Developers retain full copyright ownership of all code they submit through PrTask. Upon approval and payment of a bounty, the developer grants the client a perpetual, worldwide, non-exclusive, irrevocable license to use, modify, reproduce, and distribute the submitted code, subject to the open source license of the repository. PrTask does not claim ownership of any code submitted by developers. Developers must warrant that they have the right to submit all code and that it does not infringe third-party intellectual property rights. AI-generated code must be disclosed in the pull request description, and the developer must warrant they have the right to license it.
LicensesCodeOwnershipHeading|Code Ownership Rights
LicensesContactDescription|For licensing inquiries, compliance questions, or credit card processing concerns, contact compliance at prtask.com.
LicensesContactHeading|Contact
LicensesCreditCardDescription|Credit card payments on PrTask are processed by licensed, PCI DSS-compliant payment providers. PrTask does not store, process, or transmit credit card numbers, CVVs, or other sensitive cardholder data on its own servers. All credit card transactions are handled entirely by our payment processor.
LicensesCreditCardHeading|Credit Card Processing
LicensesDataProtectionDescription|PrTask uses HTTPS/TLS encryption for all communications. Authentication is handled via OAuth 2.0 and OpenID Connect (OIDC) with PKCE. No plaintext credentials are stored. See our Privacy Policy for full data handling details.
LicensesDataProtectionHeading|Data Protection
LicensesDescriptionHeading|About This Licenses Page
LicensesDescriptionParagraph1|This Licenses page provides comprehensive information about the software licenses, payment provider agreements, regulatory compliance certifications, and intellectual property policies that govern the PrTask platform. It covers the platform license itself, credit card processing compliance, payment provider integrations, data protection certifications, and the open source components that PrTask is built upon. Understanding these licenses helps you know your rights and obligations when using the platform.
LicensesDescriptionParagraph2|PrTask is built using open source technologies including .NET, Blazor, and various community libraries, and we are committed to respecting and acknowledging the licenses of all components we use. Code submitted by developers through pull requests remains the intellectual property of the submitter unless the task specifies otherwise, and the license terms for contributed code are determined by the repository license of the client's project. This page also details third-party service integrations with GitHub, payment processors, and Cloudflare that are essential to platform operations.
LicensesDeveloperCodeDescription|Pull requests submitted by developers remain the intellectual property of their authors until a bounty is paid. Upon payment, the submitted code is licensed to the client under the license specified in the task's repository. PrTask does not claim ownership of any code submitted by developers.
LicensesDeveloperCodeHeading|Developer Submitted Code
LicensesOpenSourceBlazor|Blazor WebAssembly (MIT License)
LicensesOpenSourceDescription|PrTask is built with .NET, Blazor WebAssembly, and other open source technologies. These components are used under their respective licenses (MIT, Apache 2.0, etc.). Full attribution is available in the project dependency files.
LicensesOpenSourceDotNet|.NET Runtime and ASP.NET Core (MIT License)
LicensesOpenSourceGratitude|We are grateful to the open source community for making these tools available. For a complete list of dependencies and their licenses, see the project dependency manifest.
LicensesOpenSourceHeading|Open Source Acknowledgments
LicensesOpenSourceMudBlazor|MudBlazor UI components (MIT License)
LicensesPageHeading|Licenses
LicensesPaymentProviderDescription|Our payment providers maintain current PCI DSS Level 1 certification, the highest level of security compliance in the payment card industry. They are licensed to process Visa, Mastercard, and other major card networks as applicable.
LicensesPaymentProviderHeading|Payment Provider Compliance
LicensesPlatformDescription|PrTask is a proprietary platform operated by PrTask. All rights to the platform, its design, branding, and source code are reserved. Use of the platform is subject to the Terms of Service.
LicensesPlatformHeading|Platform License
LicensesRegulatoryDescription|PrTask complies with applicable laws and regulations regarding online payments, data protection, and consumer rights. For questions about our compliance posture, contact compliance at prtask.com.
LicensesRegulatoryHeading|Regulatory Compliance
LicensesThirdPartyCloudflare|Cloudflare: used for hosting, CDN, and DDoS protection, subject to Cloudflare's Terms of Service
LicensesThirdPartyDescription|PrTask incorporates the following third-party libraries and services. We gratefully acknowledge the contributions of these open-source projects and their maintainers: Microsoft .NET Runtime (MIT License), ASP.NET Core and Blazor (MIT License), Iced x86 Disassembler (MIT License), and various NuGet packages listed in our project files. For a complete list of dependencies and their licenses, see the project dependency manifest.
LicensesThirdPartyGitHub|GitHub: used for OAuth authentication and pull request integration, subject to GitHub's Terms of Service
LicensesThirdPartyHeading|Third-Party Attributions
LicensesThirdPartyPayment|Payment processors (including Maya Business): used for secure transaction handling, subject to their respective service agreements
LicensesUserContentDescription|By posting content on PrTask (including task descriptions, comments, and reviews), you grant PrTask a non-exclusive, worldwide, royalty-free license to display, reproduce, and distribute that content solely for the purpose of operating and improving the platform. You retain all ownership rights to your content. This license terminates when you delete your content from PrTask, except where the content has been shared with or relied upon by other users.
LicensesUserContentHeading|User-Generated Content Licensing
LoginBrowseTasksDescription|Explore available tasks filtered by language, framework, or bounty amount.
LoginBrowseTasksHeading|Browse Tasks
LoginDescriptionHeading|Sign In to PrTask — Secure Authentication Options
LoginDescriptionParagraph1|PrTask uses single sign-on (SSO) authentication through trusted identity providers to ensure your account security. You can sign in using your existing GitHub, Google, Microsoft Azure, or Okta account — no need to create a separate username and password for PrTask. This approach leverages the enterprise-grade security of these providers, including their two-factor authentication, suspicious login detection, and account recovery mechanisms, so your PrTask account benefits from the same protections you already have in place.
LoginDescriptionParagraph2|Authentication is required to access most features on PrTask because financial transactions and code contributions require verified identities. When you sign in for the first time, PrTask creates your account automatically and links it to your chosen identity provider. Developers can connect their GitHub accounts to streamline the pull request submission process, while clients benefit from verified identities that build trust in the marketplace. All authentication data is transmitted over encrypted connections and PrTask never stores your identity provider passwords.
